Campaign Name,Purchases,Cost Per Purchase
Gardening Knee Seat,2,553.76
Twist Mop,9,556.77
Whistle like a REAL bird,22,186.65
Silicone Toilet Brush,5,662.68
Steel Pill Box,7,514.64
Foot File,0,400
Inverted Bottle Cap,2,1095.2
Cartoon Storage Basket,2,1020.44
Kitchen oil-proof stickers,0,400
Cleaning Brush,2,1217.26
Bath Body Sponge,3,941.95
Face Adhesive Tape,29,301.92
Cotton Swabs,2,817.11
Grip Guard Pad,0,400
Silicone Atta Maker Bag,2,588.12
Travel Backpack,10,597.64
Body Glow Stick,20,216.54
19-in-1 Multitool,1,928.89
Dual-Line Glittering Marker,3,876.02
Metal Card Holder Wallet,0,400
Stainless Steel Egg Mold,6,480.83
Penguin Airpod Keychain,1,923.65
Curls Hair Rollers,10,516.41
Flower Bookmarks,18,281.05
Bed Sheets Storage Bags,18,401.23
Silicone Curlers,18,238.45
Women's Razor Trimmer,1,1098.89
Knee Patch Self-adhesive,26,272.01
Phone Wallet,0,400
Wallet Phone Case Strap,3,979.73
Bicycle Rack Storage,22,520.68
Cute Cat Paw Earring,0,400
Portable Pill Taker,21,405.63
Spiral LED 3 Colours Light,5,607.46
Tiebacks Curtain Clip,12,521.53
Curtain Clip,29,381.03
Dualtone Blossom Mat (copy),1,1080.13
Easy-to-Clean Toilet Stool,7,185.11
Wireless Alarm Door Stopper,12,506.68
Tawa & Burner Cleaner Spray,1,1061.11
Lady Tote Bag,0,400
Zipper Lock Bags,1,955.25
Cartoon Felt Handbag,1,642.07
Mini Toastie Pouch,0,100
Steel Mini Bowl,0,300
Steel Cooking Pot,0,200
Dualtone Blossom Mat,2,564.43
4 in 1 Fixit,3,837.25
Veg Cutter & Grater,0,400
Lipstick,2,355.63
Artificial Nails 576 Pcs,1,735.1
